AMOUNT,APPTXNMOD,AUTH_CODE_AC,BANK_NAME_2H,CARD_TYPE_CT,DATE_TIME_DT,INVOICE_IN,LAST4CARDNO,MRCHNT_ID_MID,PMS_MODULE,PMS_NUMBER,PMS_SYSTEM_DT,RESP_CODE_RC,RETRIEVAL_REF_NUM_RRN,SERVICE_PROVIDER_2H,TERM_ID_TID,TRANSAC_TYPE,ZONE
724,332424674731113499,,NQRD,QRD,2025-02-11,,0000,JAM,LT BOOKING,3001198614,2025-02-11,S,540810693943,OTH,QRD,RECPT,8
45,991282594454046979,-,NQRD,QRD,2025-02-12,-,0000,MMCT,PWB DELIVERY,9000441393,2025-02-12,S,540920275746,Master,QRD,RECPT,8
61,976749833418922841,-,NQRD,QRD,2025-02-12,-,0000,MMCT,PWB DELIVERY,9000438841,2025-02-12,S,540920573923,Master,QRD,RECPT,8
53,162085174859021480,-,NQRD,QRD,2025-02-12,-,0000,ADI,PWB DELIVERY,9000439204,2025-02-12,S,540921302502,Master,QRD,RECPT,8
294,291177629748102383,-,NQRD,QRD,2025-02-12,-,0000,INDB,PWB DELIVERY,9000443499,2025-02-12,S,540984171802,Master,QRD,RECPT,8
1511,880531711778131931,-,NQRD,QRD,2025-02-12,-,0000,PNU,PWB BOOKING,2022289196,2025-02-12,S,540985404851,Master,QRD,RECPT,8
6159,910583976470309165,,NQRD,QRD,2025-02-12,,0000,DDR,MR,8000444384,2025-02-12,S,540985419619,-,QRD,RECPT,8
452,393992467484974811,-,NQRD,QRD,2025-02-07,-,0000,RJT,PWB DELIVERY,9000369853,2025-02-07,S,557345045898,Master,QRD,RECPT,8
311,735920196711265483,-,NQRD,QRD,2025-02-05,-,0000,BL,PWB BOOKING,1008639088,2025-02-05,S,557353942763,Master,QRD,RECPT,8
242,599534628775353386,-,NQRD,QRD,2025-02-12,-,0000,RJT,PWB DELIVERY,9000441778,2025-02-12,S,578118022727,Master,QRD,RECPT,8
708,45486573265808121,-,NQRD,QRD,2025-02-07,-,0000,ST,PWB BOOKING,2022252640,2025-02-07,S,578185936672,Master,QRD,RECPT,8
210,974628736683122050,-,NQRD,QRD,2025-02-10,-,0000,RJT,PWB DELIVERY,9000410847,2025-02-10,S,642238515139,Master,QRD,RECPT,8
30,535388610547277080,-,NQRD,QRD,2025-02-10,-,0000,COR,PWB BOOKING,2022276039,2025-02-10,S,642557200189,Master,QRD,RECPT,8
118,967753360200009429,,NQRD,QRD,2025-02-11,,0000,KUH,LT BOOKING,3001199132,2025-02-11,S,642573678295,Master,QRD,RECPT,8
170,864248290568764388,,NQRD,QRD,2025-02-12,,0000,DWX,LT BOOKING,4002160708,2025-02-12,S,537694182488,Master,QRD,RECPT,8
46,157199065417295427,-,NQRD,QRD,2025-02-08,-,0000,RTM,PWB BOOKING,1008649492,2025-02-08,S,538938854734,Master,QRD,RECPT,8
219,281388358130893483,-,NQRD,QRD,2025-02-05,-,0000,ADI,PWB DELIVERY,9000350990,2025-02-05,S,540248587138,Master,QRD,RECPT,8
167,359181784716178791,,NQRD,QRD,2025-02-05,,0000,DDR,LT BOOKING,3001192088,2025-02-05,S,540249139765,Master,QRD,RECPT,8
91,61554761343460483,-,NQRD,QRD,2025-02-05,-,0000,BRC,PWB BOOKING,1008636063,2025-02-05,S,540250225097,Master,QRD,RECPT,8
344,162540148351836708,,NQRD,QRD,2025-02-06,,0000,ST,LT BOOKING,3001194266,2025-02-06,S,540302282704,Master,QRD,RECPT,8
1558,208500595639308364,-,NQRD,QRD,2025-02-07,-,0000,RJT,PWB BOOKING,2022253086,2025-02-07,S,540437234581,Master,QRD,RECPT,8
1200,176748300107809633,-,NQRD,QRD,2025-02-07,-,0000,BRC,PWB BOOKING,2022248755,2025-02-07,S,540437509361,Master,QRD,RECPT,8
896,363414504456257970,,NQRD,QRD,2025-02-07,,0000,BH,LT BOOKING,4002155382,2025-02-07,S,540437638011,Master,QRD,RECPT,8
1457,193187202398897599,-,NQRD,QRD,2025-02-07,-,0000,RJT,PWB BOOKING,2022248588,2025-02-07,S,540437801491,Master,QRD,RECPT,8
285,343320589616010466,-,NQRD,QRD,2025-02-08,-,0000,ST,PWB BOOKING,2022259180,2025-02-08,S,540503897471,Master,QRD,RECPT,8
935,899891020657029135,-,NQRD,QRD,2025-02-08,-,0000,ST,PWB BOOKING,2022259416,2025-02-08,S,540505055789,Master,QRD,RECPT,8
6159,64668084876269056,,NQRD,QRD,2025-02-08,,0000,DDR,MR,8000384705,2025-02-08,S,540505187300,-,QRD,RECPT,8
127,392114007399989839,-,NQRD,QRD,2025-02-08,-,0000,ST,PWB BOOKING,2022255332,2025-02-08,S,540507228572,Master,QRD,RECPT,8
2138,175906910761861878,,NQRD,QRD,2025-02-08,,0000,BDTS,LT BOOKING,4002156330,2025-02-08,S,540507450343,Master,QRD,RECPT,8
